,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
37291,False,True,0,False,1,False
37455,False,True,0,False,2,False
37884,False,True,0,True,2,False
39050,False,True,0,False,0,True
39068,False,True,0,True,2,True
39073,True,False,0,False,0,True
39128,True,False,0,False,0,True
39165,False,False,0,True,1,False
39180,False,False,0,False,1,False
39186,False,True,0,True,2,True
39264,False,True,0,False,0,True
39824,False,True,0,False,0,True
39951,True,False,0,False,0,True
40052,False,False,0,True,1,False
40081,False,False,0,False,1,False
40256,False,True,0,False,0,True
40328,False,True,0,True,2,True
40442,False,True,0,True,2,False
40516,False,True,0,True,2,True
40565,False,True,0,True,1,False
40690,True,False,0,False,1,True
41229,False,False,0,True,1,False
41314,False,False,0,False,1,False
41460,False,True,0,False,0,True
41496,True,False,0,False,1,True
41508,False,True,0,True,2,True
41513,False,True,0,True,1,False
41527,False,True,0,True,2,True
41547,False,True,0,False,0,True
41605,False,True,0,True,0,False
41619,True,False,0,False,0,True
41668,True,False,0,False,0,True
41866,True,False,0,False,0,True
41957,True,False,0,False,1,True
42018,False,False,0,False,1,False
42035,False,True,0,False,1,False
42052,False,False,0,False,1,False
42353,False,True,0,True,2,True
42755,False,False,0,False,1,False
43062,False,True,0,True,2,True
43103,False,True,0,True,2,True
43308,True,False,0,False,1,True
43447,False,True,0,True,2,True
43451,False,True,0,False,0,True
43556,False,True,0,True,2,True
43585,False,False,0,True,1,False
43601,False,False,0,False,1,False
43689,False,True,0,False,0,True
43927,True,False,0,False,0,True
44170,True,False,0,False,0,True
44399,False,True,0,True,1,True
44496,False,True,0,True,2,True
44582,False,True,0,False,0,True
44679,False,True,0,True,2,True
44927,False,False,0,False,0,False
44941,False,True,0,False,1,False
45081,False,True,0,False,1,False
45324,False,True,0,False,2,False
45379,False,False,0,False,0,False
45395,False,True,0,True,1,False
45402,False,True,0,False,2,False
45407,False,True,0,False,2,False
45443,False,True,0,True,2,False
46534,False,True,0,False,0,True
46597,True,False,0,False,1,True
46653,False,True,0,False,0,True
46669,False,True,0,True,2,True
46675,True,False,0,False,0,True
46720,True,False,0,False,0,True
46731,False,True,0,False,0,False
46771,False,True,0,True,2,True
46845,False,True,0,False,0,True
46928,False,True,0,False,0,False
47311,False,True,0,False,0,True
47415,True,False,0,False,0,True
47448,False,True,0,False,0,True
47497,False,True,0,False,1,False
47561,True,False,0,False,0,True
47831,False,True,0,False,0,True
47893,False,True,0,True,2,True
47986,False,True,0,False,0,False
48000,False,True,0,True,2,False
48043,False,True,0,False,0,False
48065,False,True,0,True,2,True
48107,False,True,0,True,1,False
48217,True,False,0,False,1,True
48486,False,True,0,False,0,False
48990,False,True,0,False,0,True
49012,False,True,0,False,0,False
49016,False,True,0,False,0,False
49021,True,False,0,False,1,True
49033,False,True,0,True,2,True
49037,False,True,0,True,1,False
49050,False,True,0,True,2,True
49067,False,True,0,False,0,True
49115,False,True,0,True,0,False
49127,True,False,0,False,0,True
49167,True,False,0,False,0,True
49298,True,False,0,False,0,True
49307,False,True,0,False,0,True
49350,False,True,0,False,0,True
49388,False,True,0,False,0,True
49406,False,True,0,False,2,False
49445,True,False,0,False,0,True
49517,True,False,0,False,1,True
49592,False,True,0,False,1,False
49844,False,True,0,False,0,False
49872,False,True,0,True,2,True
50561,False,True,0,True,2,True
50595,False,True,0,True,2,True
50739,False,True,0,False,0,False
50874,True,False,0,False,1,True
50963,False,True,0,False,0,False
50998,False,True,0,True,2,True
51002,False,True,0,False,0,True
51094,False,True,0,True,2,True
51214,False,True,0,False,0,True
51425,True,False,0,False,0,True
